id,rarity,on_sale_price,filename,name,nft_id,on_sale_since,tax,supply_max,supply_circulating,ordinal,kills,wins,boosts,boosts2
62047,common,780,virus,virus,,2023-03-15T23:50:45.456Z,39.00,2000,2000,1772,0,0,0,0
65080,rare,6900,frankie,frankie,,2022-11-07T02:25:52.421Z,345.00,150,150,76,0,0,0,0
65181,common,1000,volleyball,volleyball,,2023-03-15T18:03:18.767Z,50.00,2000,2000,1149,0,0,0,0
45277,rare,2865,jackolantern,jackolantern,,2022-05-12T00:26:43.164Z,143.25,150,150,148,667,288,17.8,0
53531,rare,30000,diver,diver,,2023-03-01T18:56:41.250Z,1500.00,150,150,139,1395,873,286.91,0
31284,uncommon,522,fox,fox,,2023-03-13T19:36:13.074Z,26.10,784,784,276,961,335,5.36,0
66745,common,220,saturn,saturn,,2023-03-15T10:09:12.470Z,11.00,2000,2000,1802,0,0,0,0
50720,uncommon,9200,ufo,ufo,,2023-03-13T10:09:37.083Z,460.00,600,600,34,18826,8651,2370.12,10100
65841,common,250,clock,clock,,2023-03-15T10:27:56.492Z,12.50,2000,2000,1807,0,0,0,0
50969,epic,20950,owl,owl,,2023-02-26T19:12:55.362Z,1047.50,50,50,21,2366,1005,59.97,250
66799,common,220,saturn,saturn,,2023-03-15T10:09:15.903Z,11.00,2000,2000,1812,0,0,0,0
43094,epic,14400,shades,shades,,2022-12-11T13:04:21.279Z,720.00,50,50,46,2854,1252,91.60,0
64966,epic,18900,mummy,mummy,,2023-03-05T10:53:17.999Z,945.00,50,50,12,35,15,3.88,8040
65279,common,8000,football,football,,2023-03-15T15:26:49.662Z,400.00,2000,2000,1826,2795,1888,538.53,19590
